127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 17:16:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/default/index, HTTP/1.1, 200, 0.249000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.084000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.100000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.100000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.136000
127.0.0.1, 2018-04-25 17:18:58, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-25 17:18:58, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2018-04-25 17:19:03, GET, /start/default/user, HTTP/1.1, 303, 0.024000
127.0.0.1, 2018-04-25 17:19:03, GET, /start/default/user/login, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-04-25 17:19:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:19:12, GET, /start/default/user/register, HTTP/1.1, 200, 0.088000
127.0.0.1, 2018-04-25 17:19:12, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:20:14, POST, /start/default/user/register, HTTP/1.1, 303, 0.076000
127.0.0.1, 2018-04-25 17:20:14, GET, /start/default/index, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-04-25 17:20:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:20:23, GET, /start/default/add, HTTP/1.1, 200, 0.136000
127.0.0.1, 2018-04-25 17:20:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:20:32, POST, /start/default/add, HTTP/1.1, 303, 0.064000
127.0.0.1, 2018-04-25 17:20:32, GET, /start/default/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-04-25 17:20:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:20:57, GET, /start/default/toggle_public/1, HTTP/1.1, 404, 0.024000
127.0.0.1, 2018-04-25 17:20:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:20:59, GET, /start/default/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-04-25 17:20:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:21:39, GET, /start/default/index, HTTP/1.1, 500, 0.108000
127.0.0.1, 2018-04-25 17:21:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:23:27, GET, /start/default/index, HTTP/1.1, 500, 0.169000
127.0.0.1, 2018-04-25 17:23:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:23:29, GET, /start/default/index, HTTP/1.1, 500, 0.132000
127.0.0.1, 2018-04-25 17:23:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:25:15, GET, /start/default/index, HTTP/1.1, 500, 0.120000
127.0.0.1, 2018-04-25 17:25:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:25:17, GET, /start/default/index, HTTP/1.1, 500, 0.150000
127.0.0.1, 2018-04-25 17:25:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:26:39, GET, /start/default/index, HTTP/1.1, 200, 0.078000
127.0.0.1, 2018-04-25 17:26:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:26:44, GET, /start/default/toggle_public/1, HTTP/1.1, 404, 0.024000
127.0.0.1, 2018-04-25 17:26:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:26:46, GET, /start/default/index, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-04-25 17:26:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:28:15, GET, /start/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-04-25 17:28:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:28:17, GET, /start/default/toggle_public/1, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-04-25 17:28:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:28:19, GET, /start/default/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-04-25 17:28:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:04, GET, /start/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-04-25 17:31:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:06, GET, /start/default/toggle_public/1, HTTP/1.1, 200, 0.071000
127.0.0.1, 2018-04-25 17:31:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:08, GET, /start/default/index, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-04-25 17:31:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:34, GET, /start/default/index, HTTP/1.1, 200, 0.091000
127.0.0.1, 2018-04-25 17:31:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:31:35, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.065000
127.0.0.1, 2018-04-25 17:31:35, GET, /start/default/index, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-25 17:31:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:36, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.056000
127.0.0.1, 2018-04-25 17:31:36, GET, /start/default/index, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-04-25 17:31:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:37, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.067000
127.0.0.1, 2018-04-25 17:31:37, GET, /start/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-04-25 17:31:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:40, GET, /start/default/add, HTTP/1.1, 200, 0.084000
127.0.0.1, 2018-04-25 17:31:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:42, POST, /start/default/add, HTTP/1.1, 303, 0.107000
127.0.0.1, 2018-04-25 17:31:43, GET, /start/default/index, HTTP/1.1, 200, 0.117000
127.0.0.1, 2018-04-25 17:31:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:46, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.084000
127.0.0.1, 2018-04-25 17:31:46, GET, /start/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-25 17:31:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:49, GET, /start/default/add, HTTP/1.1, 200, 0.069000
127.0.0.1, 2018-04-25 17:31:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:51, POST, /start/default/add, HTTP/1.1, 303, 0.063000
127.0.0.1, 2018-04-25 17:31:51, GET, /start/default/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-04-25 17:31:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:31:57, GET, /start/default/toggle_public/3, HTTP/1.1, 303, 0.099000
127.0.0.1, 2018-04-25 17:31:57, GET, /start/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-04-25 17:31:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:31:59, GET, /start/default/toggle_public/3, HTTP/1.1, 303, 0.064000
127.0.0.1, 2018-04-25 17:31:59, GET, /start/default/index, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-25 17:31:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:32:01, GET, /start/default/toggle_public/3, HTTP/1.1, 303, 0.060000
127.0.0.1, 2018-04-25 17:32:01, GET, /start/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-04-25 17:32:01, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2018-04-25 17:32:03, GET, /start/default/toggle_public/3, HTTP/1.1, 303, 0.048000
127.0.0.1, 2018-04-25 17:32:03, GET, /start/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-25 17:32:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:32:04, GET, /start/default/toggle_public/3, HTTP/1.1, 303, 0.068000
127.0.0.1, 2018-04-25 17:32:04, GET, /start/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-25 17:32:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:32:07, GET, /start/default/delete/3, HTTP/1.1, 303, 0.052000
127.0.0.1, 2018-04-25 17:32:07, GET, /start/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-04-25 17:32:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:32:08, GET, /start/default/edit/2, HTTP/1.1, 200, 0.088000
127.0.0.1, 2018-04-25 17:32:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:32:10, POST, /start/default/edit/2, HTTP/1.1, 303, 0.117000
127.0.0.1, 2018-04-25 17:32:10, GET, /start/default/index, HTTP/1.1, 200, 0.177000
127.0.0.1, 2018-04-25 17:32:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:32:12, GET, /start/default/delete/2, HTTP/1.1, 303, 0.102000
127.0.0.1, 2018-04-25 17:32:12, GET, /start/default/index, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-04-25 17:32:12, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:33:22, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.064000
127.0.0.1, 2018-04-25 17:33:22, GET, /start/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-04-25 17:33:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:33:23, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.086000
127.0.0.1, 2018-04-25 17:33:23, GET, /start/default/index, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-04-25 17:33:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/default/index, HTTP/1.1, 200, 1.305000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-04-25 17:57:50, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-25 18:02:12, GET, /start/default/index, HTTP/1.1, 200, 0.705000
127.0.0.1, 2018-04-25 18:02:18, GET, /start/default/user/login, HTTP/1.1, 200, 0.076000
127.0.0.1, 2018-04-25 18:02:35, POST, /start/default/user/login, HTTP/1.1, 303, 0.064000
127.0.0.1, 2018-04-25 18:02:35, GET, /start/default/index, HTTP/1.1, 200, 0.062000
